"RPT_REC_NUM","ProviderNumber","SNF_Name","Address","City","State","ZipCode","County","SNF_BedCount","SNF_BedDaysAvailable","SNF_MedicareInpatientDays","SNF_MedicaidInpatientDays","SNF_OtherInpatientDays","SNF_MedicareDischarges","SNF_MedicaidDischarges","SNF_OtherDischarges","SNF_MedicareALOS","SNF_MedicaidALOS","PRVDR_CTRL_TYPE_CD","PRVDR_NUM","NPI","RPT_STUS_CD","FY_BGN_DT","FY_END_DT","PROC_DT","INITL_RPT_DT","LAST_RPT_DT","TRNSMTL_NUM","FI_NUM","ADR_VNDR_CD","FI_CREAT_DT","UTIL_CD","NPR_DT","SPEC_IND","FI_RCPT_DT","YEAR","DAYS_IN_COST_REPORTING_PERIOD"
"1159781","345110","AUTUMN CARE OF WAYNESVILLE","360 OLD BALSAM ROAD","WAYNESVILLE","NC","28786","HAYWOOD",90,8280,1761,5083,886,42,22,40,41,231,4,"345110",NA,1,2016-10-01,2016-12-31,"06/06/2017","N","N","",11501,4,"05/08/2017","F","","","05/03/2017",2016,91
"1159784","345294","AUTUMN CARE OF SHALLOTTE","237 MULBERRY STREET","SHALLOTTE","NC","28470","BRUNSWICK",130,11960,1453,6780,2484,57,27,41,25,251,4,"345294",NA,2,2016-10-01,2016-12-31,"06/06/2017","N","N","",11501,4,"06/06/2017","F","06/05/2017","","05/25/2017",2016,91
"1159785","345511","AUTUMN CARE OF STATESVILLE","2001 VAN HAVEN DRIVE","STATESVILLE","NC","28625","IREDELL",103,9476,1797,4112,1858,42,20,27,42,205,4,"345511",NA,2,2016-10-01,2016-12-31,"06/06/2017","N","N","",11501,4,"06/06/2017","F","06/05/2017","","05/25/2017",2016,91
"1160098","365748","WHITE OAK HEALTHCARE","1926 RIDGE AVENUE","WARREN","OH","44484","TRUMBULL",62,1922,44,1079,376,1,12,12,44,89,5,"365748",NA,2,2016-12-01,2016-12-31,"06/08/2017","N","N","",15201,4,"05/18/2017","F","06/07/2017","","05/12/2017",2016,30
"1161504","185192","ST. MATTHEWS CARE CENTER","227 BROWNS LANE","LOUISVILLE","KY","40207","JEFFERSON",125,7625,598,NA,6696,18,NA,30,33,NA,4,"185192",NA,1,2016-11-01,2016-12-31,"06/13/2017","N","N","",1011,4,"06/13/2017","F","","","05/31/2017",2016,60
"1165157","225718","BANE HANCOCK LLC","164 PARKINGWAY","QUINCY","MA","02169","NORFOLK",142,8662,1260,5159,1738,4,3,2,315,1719,5,"225718",NA,2,2016-11-01,2016-12-31,"06/22/2017","N","N","",5901,4,"06/22/2017","F","06/22/2017","","05/30/2017",2016,60
"1166010","035003","THE TERRACES OF PHOENIX","7550 N. 16TH STREET","PHOENIX","AZ","85020","MARICOPA",64,5888,1215,NA,3031,53,NA,21,22,NA,1,"035003",NA,2,2016-10-01,2016-12-31,"06/26/2017","N","N","",5901,4,"06/23/2017","F","06/23/2017","","05/26/2017",2016,91
"1166392","265731","MAGNOLIA SQUARE NURSING AND REHAB","1502 WEST EDGEWOOD","SPRINGFIELD","MO","65807","LEE",120,11040,582,5682,3026,15,5,24,38,1136,4,"265731",NA,2,2016-10-01,2016-12-31,"06/27/2017","N","N","",5001,4,"06/27/2017","F","06/27/2017","","05/30/2017",2016,91
"1166763","155851","ORCHARD POINTE HEALTH CAMPUS","702 N SAWYER ROAD","KENDALLVILLE","IN","46755","NOBLE",58,4002,298,NA,142,11,NA,9,27,NA,4,"155851",NA,2,2016-10-24,2016-12-31,"06/28/2017","N","N","",8001,4,"06/28/2017","F","06/27/2017","","05/26/2017",2016,68
"1167741","345268","AUTUMN CARE OF MARSHVILLE","311 W PHIFER ROAD","MARSHVILLE","NC","28103","UNION",110,10120,1652,5752,873,26,36,19,63,159,4,"345268",NA,1,2016-10-01,2016-12-31,"06/29/2017","N","N","",11501,4,"06/01/2017","F","","","05/25/2017",2016,91
"1167742","345381","VILLAGE CARE OF KING","440 INGRAM DRIVE","KING","NC","27021","STOKES",96,8832,997,5329,2000,12,15,51,83,355,4,"345381",NA,1,2016-10-01,2016-12-31,"06/29/2017","N","N","",11501,4,"06/01/2017","F","","","05/25/2017",2016,91
"1168234","495126","WADDELL NURSING AND REHABILITATION","202 PAINTER STREET","GALAX","VA","24333","GALAX",135,12420,2055,7979,1518,41,27,11,50,295,4,"495126",NA,1,2016-10-01,2016-12-31,"07/17/2017","N","N","",11301,4,"05/26/2017","F","","","05/23/2017",2016,91
"1168246","495194","AUTUMN CARE OF PORTSMOUTH","3610 WINCHESTER DRIVE","PORTSMOUTH","VA","23707","NORFOLK",108,9936,1022,5398,2042,31,19,27,32,284,4,"495194",NA,1,2016-10-01,2016-12-31,"07/17/2017","N","N","",11301,4,"05/31/2017","F","","","05/23/2017",2016,91
"1168476","185095","HILLCREEK REHABILITATION AND CARE","3116 BRECKENRIDGE LANE","LOUISVILLE","KY","40220","JEFFERSON",172,10492,892,NA,7802,22,NA,67,40,NA,4,"185095",NA,1,2016-11-01,2016-12-31,"07/17/2017","N","N","",1011,4,"07/05/2017","F","","","06/30/2017",2016,60
"1168614","225227","FITCHBURG GARDENS FOR NURSING & REHA","94 SUMMER STREET","FITCHBURG","MA","01420","WORCESTER",87,5307,128,2369,1045,6,10,7,21,236,4,"225227",NA,2,2016-11-01,2016-12-31,"07/17/2017","N","N","",5901,4,"07/05/2017","F","07/05/2017","","05/30/2017",2016,60
"1168869","155852","HARRISON SPRINGS HEALTH CAMPUS","871 PACER DRIVE NW","CORYDON","IN","47112","HARRISON",58,3828,999,NA,186,27,NA,11,37,NA,4,"155852",NA,2,2016-10-27,2016-12-31,"07/17/2017","N","N","",8001,4,"07/07/2017","F","07/07/2017","","05/26/2017",2016,65
"1168983","505455","JUDSON PARK","23600 MARINE VIEW DRIVE SOUTH","DES MOINES","WA","98198","KING",96,8832,1497,2944,2338,49,13,39,30,226,1,"505455",NA,2,2016-10-01,2016-12-31,"07/17/2017","N","N","",5901,4,"07/10/2017","F","07/10/2017","","05/26/2017",2016,91
"1169519","045364","CHAPEL RIDGE NURSING CENTER  LLC","4623 ROGERS AVENUE","FORT SMITH","AR","72903","SEBASTIAN",157,14444,606,5258,2340,8,NA,11,75,NA,4,"045364",NA,2,2016-10-01,2016-12-31,"07/18/2017","N","N","",5901,4,"07/13/2017","F","07/12/2017","","05/26/2017",2016,91
"1169567","535039","WESTVIEW HEALTH CARE CENTER","1990 WEST LOUCKS STREET","SHERIDAN","WY","82801","SHERIDAN",86,7912,808,4064,1940,24,16,23,33,254,6,"535039",NA,2,2016-10-01,2016-12-31,"07/18/2017","N","N","",10001,4,"06/29/2017","F","07/17/2017","","05/10/2017",2016,91
"1169631","165440","WINSLOW HOUSE CARE CENTER","3456 INDIAN CREEK ROAD","MARION","IA","52302","LINN",50,2550,118,1385,856,3,1,2,39,1385,6,"165440",NA,2,2016-11-11,2016-12-31,"07/18/2017","N","N","",5001,4,"07/14/2017","F","07/14/2017","","05/26/2017",2016,50
"1169648","675289","PINECREST NURSING & REHAB CENTER","3505 OLD JACKSONVILLE ROAD","TYLER","TX","75701","SMITH",120,11044,214,5857,439,5,14,2,42,418,4,"675289",NA,2,2016-10-01,2016-12-31,"07/18/2017","N","N","",4011,4,"07/12/2017","F","07/17/2017","","05/15/2017",2016,91
"1169854","165260","DONNELLSON HEALTH CENTER","901 STATE STREET","DONNELLSON","IA","52625","LEE",55,4290,112,2358,896,5,1,5,22,2358,4,"165260",NA,2,2016-10-15,2016-12-31,"07/18/2017","N","N","",5001,4,"07/18/2017","F","07/18/2017","","06/02/2017",2016,77
"1170022","365906","MONARCH MEADOWS NURSING & REHAB","299 COMMERCE DRIVE","SEAMAN","OH","45679","ADAMS",50,2600,321,1179,309,21,24,9,15,49,4,"365906",NA,2,2016-11-10,2016-12-31,"07/20/2017","N","N","",15201,4,"06/21/2017","F","07/19/2017","","05/31/2017",2016,51
"1170096","215060","REGENCY CARE OF SILVER SPRING","9101 SECOND STREET","SILVER SPRING","MD","20910","MONTGOMERY",92,5612,377,4359,458,7,5,3,53,871,9,"215060",NA,2,2016-11-01,2016-12-31,"07/20/2017","N","N","",12001,4,"07/13/2017","F","07/20/2017","","05/19/2017",2016,60
"1170136","265664","JAMES RIVER NURSING AND REHAB","3550 BATTLEFIELD","SPRINGFIELD","MO","65809","LEE",120,11040,762,5996,2889,22,5,29,34,1199,4,"265664",NA,2,2016-10-01,2016-12-31,"07/20/2017","N","N","",5001,4,"07/19/2017","F","07/19/2017","","05/30/2017",2016,91
"1170189","225557","EASTPOINTE REHAB CENTER","225 CENTRAL AVENUE","CHELSEA","MA","02150","SUFFOLK",195,7800,857,4124,2639,13,6,25,65,687,4,"225557",NA,2,2016-11-21,2016-12-31,"07/20/2017","N","N","",5901,4,"07/20/2017","F","07/20/2017","","06/09/2017",2016,40
"1170547","185434","THE HERITAGE","192 BACON CREEK ROAD","CORBIN","KY","40702","WHITLEY",85,5185,690,3094,1011,30,10,10,23,309,5,"185434",NA,2,2016-11-01,2016-12-31,"07/25/2017","N","N","",15101,4,"06/23/2017","F","07/20/2017","","06/05/2017",2016,60
"1170549","185200","LETCHER MANOR","73 PIEDMONT DRIVE","WHITESBURG","KY","41858","LETCHER",142,8662,1127,5686,659,54,36,17,20,157,5,"185200",NA,2,2016-11-01,2016-12-31,"07/25/2017","N","N","",15101,4,"06/23/2017","F","07/20/2017","","06/05/2017",2016,60
"1170550","185218","SOMERSET MANOR","106 GOVER STREET","SOMERSET","KY","42502","PULASKI",123,7503,884,4762,1088,24,9,16,36,529,5,"185218",NA,2,2016-11-01,2016-12-31,"07/25/2017","N","N","",15101,4,"07/13/2017","F","07/24/2017","","07/12/2017",2016,60
"1170551","185240","MIDDLESBORO MANOR","235 NEW WILSON LANE","MIDDLESBORO","KY","40965","BELL",95,5795,590,3992,953,16,11,17,36,362,5,"185240",NA,2,2016-11-01,2016-12-31,"07/25/2017","N","N","",15101,4,"07/05/2017","F","07/24/2017","","06/27/2017",2016,60
"1170552","185254","RIDGEWAY NURSING & REHABILIATION","406 WYOMING ROAD","OWINGSVILLE","KY","40360","BATH",99,6039,338,4416,749,18,7,7,18,630,5,"185254",NA,2,2016-11-01,2016-12-31,"07/25/2017","N","N","",15101,4,"07/07/2017","F","07/24/2017","","07/03/2017",2016,60
"1170554","185314","PIONEER TRACE GROUP  LLC","115 PIONEER TRACE","FLEMINGSBURG","KY","41041","FLEMING",92,5612,516,3079,1278,20,2,7,25,1539,4,"185314",NA,2,2016-11-01,2016-12-31,"07/25/2017","N","N","",15101,4,"06/26/2017","F","07/24/2017","","06/05/2017",2016,60
"1170556","185392","WOODLAND OAKS MANOR","1820 OAKVIEW ROAD","ASHLAND","KY","41105","GREENUP",110,6710,983,3537,1938,35,10,19,28,353,5,"185392",NA,2,2016-11-01,2016-12-31,"07/25/2017","N","N","",15101,4,"07/05/2017","F","07/24/2017","","06/27/2017",2016,60
"1170707","675133","HIGHLAND PINES NURSING HOME","1100 NORTH FOURTH ST.","LONGVIEW","TX","75601","GREGG",171,15732,1439,6961,1925,56,39,35,25,178,5,"675133",NA,2,2016-10-01,2016-12-31,"07/25/2017","N","N","",4011,4,"07/24/2017","F","07/25/2017","","05/17/2017",2016,91
"1170740","505528","SKILLED NRSNG FACILITY MNGD BY WESLE","901 - 12TH AVENUE","SEATTLE","WA","98122","KING",36,2484,105,NA,589,2,NA,7,52,NA,2,"505528",NA,2,2016-10-24,2016-12-31,"07/26/2017","N","N","",2001,4,"07/19/2017","F","07/24/2017","","06/06/2017",2016,68
"1170938","135110","KARCHER POST-ACUTE & REHAB CENTER","1127 CALDWELL BLVD.","NAMPA","ID","83651","CANYON",66,2046,130,916,557,5,4,17,26,229,4,"135110",NA,2,2016-12-01,2016-12-31,"07/27/2017","N","N","",5901,4,"07/26/2017","F","07/25/2017","","05/26/2017",2016,30
"1171037","056096","PIEDMONT GARDENS","110 41 STREET","OAKLAND","CA","94611","ALAMEDA",94,8648,1499,2718,3169,59,3,65,25,906,1,"056096",NA,2,2016-10-01,2016-12-31,"07/28/2017","N","N","",1011,4,"07/24/2017","F","07/27/2017","","05/26/2017",2016,91
"1171040","295086","LAS VENTANAS RETIREMENT COMMUNITY","10401 W. CHARLESTON BLVD.","LAS VEGAS","NV","89135","CLARK",60,5520,3189,NA,1808,97,NA,9,32,NA,1,"295086",NA,2,2016-10-01,2016-12-31,"07/28/2017","N","N","",1011,4,"07/27/2017","F","07/27/2017","","05/26/2017",2016,91
"1171056","055733","VALLE VERDE","900 CALLE DE LOS AMIGOS","SANTA BARBARA","CA","93105","SANTA BARBARA",72,6624,1106,1265,3188,48,1,41,23,1265,1,"055733",NA,2,2016-10-01,2016-12-31,"07/28/2017","N","N","",1011,4,"07/27/2017","F","07/27/2017","","05/26/2017",2016,91
"1171060","055914","PLYMOUTH VILLAGE","900 SALEM DRIVE","REDLANDS","CA","92373","SAN BERNARDINO",48,4416,381,573,2543,8,2,25,47,286,1,"055914",NA,2,2016-10-01,2016-12-31,"07/28/2017","N","N","",1011,4,"07/27/2017","F","07/27/2017","","05/26/2017",2016,91
"1171104","345458","PEAK RESOURCES TREYBURN","2059 TORREDGE RD","DURHAM","NC","27712","DURHAM",132,16236,1536,7507,3410,76,29,28,20,258,4,"345458",NA,1,2016-10-01,2017-01-31,"07/28/2017","N","N","",11501,4,"07/19/2017","F","","","07/17/2017",2017,122
"1171124","075195","PARKWAY PAVILION HEALTH & REHAB CTR","1157 ENFIELD STREET","ENFIELD","CT","06082","HARTFORD",130,11440,1682,7297,1591,41,8,13,41,912,5,"075195",NA,2,2016-10-05,2016-12-31,"07/28/2017","N","N","",5901,4,"07/27/2017","F","07/25/2017","","06/02/2017",2016,87
"1171125","075196","HARBOR VILLAGE NORTH REHAB & NURSING","78 VIETS STREET","NEW LONDON","CT","06320","NEW LONDON",128,11264,502,7980,259,6,20,2,83,399,5,"075196",NA,2,2016-10-05,2016-12-31,"07/28/2017","N","N","",5901,4,"07/27/2017","F","07/25/2017","","06/02/2017",2016,87
"1171228","425004","BRUSHY CREEK REHABILITATION AND HEAL","101 COTTAGE CREEK CIRCLE","GREER","SC","29650","GREENVILLE",144,13248,3292,4020,5079,125,1,26,26,4020,6,"425004",NA,2,2016-10-01,2016-12-31,"07/31/2017","N","N","",11001,4,"07/25/2017","F","07/27/2017","","06/01/2017",2016,91
"1171303","055210","TERRACES OF LOS ALTOS","373 PINE LANE","LOS ALTOS","CA","94022","SANTA CLARA",30,2760,1148,NA,1328,41,NA,12,28,NA,1,"055210",NA,2,2016-10-01,2016-12-31,"07/31/2017","N","N","",1011,4,"07/25/2017","F","07/28/2017","","05/26/2017",2016,91
"1171310","055846","THE TERRACES AT SAN JOAQUIN GARDENS","5555 N. FRESNO STREET","FRESNO","CA","93710","FRESNO",54,4968,1660,1283,1773,55,NA,25,30,NA,1,"055846",NA,2,2016-10-01,2016-12-31,"07/31/2017","N","N","",1011,4,"07/25/2017","F","07/28/2017","","05/26/2017",2016,91
"1171340","495196","AUTUMN CARE OF ALTAVISTA","1317 LOLA AVENUE","ALTAVISTA","VA","24517","CAMPBELL",111,10212,935,6308,2136,30,13,16,31,485,4,"495196",NA,2,2016-10-01,2016-12-31,"07/31/2017","N","N","",11301,4,"07/26/2017","F","07/26/2017","","05/23/2017",2016,91
"1171341","495244","AUTUMN CARE OF MADISON","ONE AUTUMN COURT","MADISON","VA","22727","MADISON",92,8464,737,4044,2228,23,6,19,32,674,4,"495244",NA,2,2016-10-01,2016-12-31,"07/31/2017","N","N","",11301,4,"07/26/2017","F","07/26/2017","","05/23/2017",2016,91
"1171342","495253","AUTUMN CARE OF NORFOLK","1401 HALSTEAD AVENUE","NORFOLK","VA","23502","NORFOLK",120,11040,575,6362,3274,14,22,29,41,289,4,"495253",NA,2,2016-10-01,2016-12-31,"07/31/2017","N","N","",11301,4,"07/26/2017","F","07/26/2017","","05/23/2017",2016,91
"1171344","495256","AUTUMN CARE OF CHESAPEAKE","715 ARGYLL STREET","CHESAPEAKE","VA","23320","CHESAPEAKE",117,10764,2474,5576,1799,95,13,52,26,428,4,"495256",NA,2,2016-10-01,2016-12-31,"07/31/2017","N","N","",11301,4,"07/26/2017","F","07/26/2017","","05/23/2017",2016,91
"1171345","495258","AUTUMN CARE OF SUFFOLK","2580 PRUDEN BLVD","SUFFOLK","VA","23434","SUFFOLK",120,11040,394,6076,2455,19,14,26,20,434,4,"495258",NA,2,2016-10-01,2016-12-31,"07/31/2017","N","N","",11301,4,"07/26/2017","F","07/26/2017","","05/23/2017",2016,91
"1171346","495262","SHENANDOAH NURSING HOME","339 WESTMINISTER DRIVE","FISHERVILLE","VA","22939","AUGUSTA",60,5520,1583,2120,1460,53,7,14,29,302,4,"495262",NA,2,2016-10-01,2016-12-31,"07/31/2017","N","N","",11301,4,"07/26/2017","F","07/26/2017","","05/23/2017",2016,91
"1171347","495413","AUTUMN CARE OF MECHANICSVILLE","7600 AUTUMN PARK WAY","MECHANICSVILLE","VA","23116","HANOVER",169,15548,3194,4868,5611,104,15,61,30,324,4,"495413",NA,2,2016-10-01,2016-12-31,"07/31/2017","N","N","",11301,4,"07/26/2017","F","07/26/2017","","05/23/2017",2016,91
"1171356","345000","AUTUMN CARE OF BISCOE","401 LAMBERT ROAD","BISCOE","NC","27209","MONTGOMERY",132,12144,1765,6156,871,32,25,23,55,246,4,"345000",NA,2,2016-10-01,2016-12-31,"08/01/2017","N","N","",11501,4,"07/23/2017","F","07/25/2017","","05/25/2017",2016,91
"1171357","345129","AUTUMN CARE OF MOCKSVILLE","1007 HOWARD STREET","MOCKSVILLE","NC","27028","DAVIE",96,8832,388,4876,1039,13,28,24,29,174,4,"345129",NA,2,2016-10-01,2016-12-31,"08/01/2017","N","N","",11501,4,"07/23/2017","F","07/25/2017","","05/25/2017",2016,91
"1171358","345165","AUTUMN CARE OF MARION","1264 AIRPORT ROAD","MARION","NC","28752","MCDOWELL",110,10120,1451,6539,934,41,17,31,35,384,4,"345165",NA,2,2016-10-01,2016-12-31,"08/01/2017","N","N","",11501,4,"07/23/2017","F","07/25/2017","","05/25/2017",2016,91
"1171368","185250","OAKMONT MANOR","1100 GRANDVIEW DRIVE","FLATWOODS","KY","41139","GREENUP",85,5185,772,2855,1161,37,8,20,20,356,5,"185250",NA,2,2016-11-01,2016-12-31,"08/01/2017","N","N","",15101,4,"07/20/2017","F","07/27/2017","","07/18/2017",2016,60
"1171369","185359","ROBERTSON MANOR","1030 KENTONTOWN ROAD","MT. OLIVET","KY","40164","ROBERTSON",60,3660,357,2223,626,12,5,7,29,444,5,"185359",NA,2,2016-11-01,2016-12-31,"08/01/2017","N","N","",15101,4,"07/24/2017","F","07/31/2017","","07/18/2017",2016,60
"1171571","675812","WHISPERING PINES NURSING & REHAB","901 SOUTH BEECH STREET","WINNSBORO","TX","75949","WOOD",120,3720,54,910,523,NA,NA,4,NA,NA,4,"675812",NA,2,2016-12-01,2016-12-31,"08/02/2017","N","N","",4011,4,"07/25/2017","F","08/02/2017","","05/26/2017",2016,30
"1171583","395479","GWYNEDD HEALTHCARE LLC","773 SUMNEYTOWN PIKE","LANSDALE","PA","19446","MONTGOMERY",181,5611,215,4391,798,10,4,3,21,1097,5,"395479",NA,2,2016-12-01,2016-12-31,"08/02/2017","N","N","",12001,4,"07/21/2017","F","08/02/2017","","05/30/2017",2016,30
"1171724","555116","ROSEWOOD HEALTH FACILITY","1301 NEW STINE ROAD","BAKERSFIELD","CA","93309","KERN",79,7268,2324,2782,1282,98,7,49,23,397,1,"555116",NA,2,2016-10-01,2016-12-31,"08/03/2017","N","N","",1011,4,"08/01/2017","F","08/01/2017","","05/26/2017",2016,91
"1171954","555547","THE TERRACES OF LOS GATOS","800 BLOSSOM HILL ROAD","LOS GATOS","CA","95032","SANTA CLARA",59,5428,1256,276,3466,58,NA,22,21,NA,1,"555547",NA,2,2016-10-01,2016-12-31,"08/04/2017","N","N","",1011,4,"08/03/2017","F","08/03/2017","","05/26/2017",2016,91
"1172132","065419","THE CENTER AT LOWRY","8550 E LOWRY BLVD","DENVER","CO","80230","DENVER",96,7104,1134,128,97,56,6,4,20,21,5,"065419",NA,2,2016-10-19,2016-12-31,"08/04/2017","Y","N","",4011,4,"07/21/2017","F","08/04/2017","","05/26/2017",2016,73
"1172140","675270","PECAN MANOR NURSING AND REHABILITATI","413 MANSFIELD CARDINAL ROAD","KENNEDALE","TX","76060","TARRANT",50,1550,73,1086,197,2,NA,1,36,NA,4,"675270",NA,2,2016-12-01,2016-12-31,"08/04/2017","N","N","",4011,4,"07/21/2017","F","08/04/2017","","05/26/2017",2016,30
"1172309","675846","TRINITY NURSING AND REHABILITATION","902 E. MAIN ST","SAN AUGUSTINE","TX","75972","SAN AUGUSTINE",88,2728,167,1162,53,4,9,2,41,129,4,"675846",NA,2,2016-12-01,2016-12-31,"08/08/2017","N","N","",4011,4,"07/27/2017","F","08/08/2017","","05/26/2017",2016,30
"1172365","145992","APERION CARE COLFAX","402 SOUTH HARRISON STREET","COLFAX","IL","61728","MCLEAN",60,1920,44,474,152,3,21,7,14,22,6,"145992",NA,2,2017-01-01,2017-02-01,"08/08/2017","N","Y","",5901,4,"08/03/2017","F","08/03/2017","","07/05/2017",2017,31
"1172603","445159","BETHANY HEALTH & REHAB CENTER","421 OCALA DRIVE","NASHVILLE","TN","37211","DAVIDSON",90,5310,1246,118,2028,33,1,46,37,118,4,"445159",NA,1,2017-01-01,2017-02-28,"08/09/2017","N","N","",10001,4,"08/07/2017","F","","","07/24/2017",2017,58
"1172638","675234","WOODLAKE NURSING HOME","603 EAST PLANTATION DRIVE","CLUTE","TX","77531","BRAZORIA",93,8556,354,4151,650,18,17,8,19,244,6,"675234",NA,2,2016-10-01,2016-12-31,"08/10/2017","N","N","",4011,4,"08/07/2017","F","08/10/2017","","05/30/2017",2016,91
"1172660","415107","KINGSTON CTR FOR REHAB AND HEALTH CA","415 GARDINER ROAD","WEST KINGSTON","RI","02892","WASHINGTON",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"415107",NA,2,2016-10-01,2016-12-31,"08/10/2017","N","N","",14011,4,"08/10/2017","L","08/10/2017","","05/24/2017",2016,91
"1172669","225569","LIFE CARE CARE CENTER OF NASHOBA VAL","191 FOSTER STREET","LITTLETON","MA","01460","MIDDLESEX",120,11040,1955,5459,3131,69,15,81,28,363,5,"225569",NA,2,2016-10-01,2016-12-31,"08/10/2017","N","N","",10001,4,"08/09/2017","F","08/10/2017","","05/22/2017",2016,91
"1172680","155853","PARK PLACE AT ST JOHN","10820 PARK PLACE","SAINT JOHN","IN","46373","LAKE",50,2950,384,NA,114,5,NA,1,76,NA,2,"155853",NA,2,2016-11-03,2016-12-31,"08/10/2017","N","N","",8001,4,"08/09/2017","F","08/07/2017","","06/19/2017",2016,58
"1172688","075267","HARBOR VILLAGE SOUTH REHAB & NURSING","89 VIETS","NEW LONDON","CT","06320","NEW LONDON",66,5808,450,3614,208,3,18,3,150,200,5,"075267",NA,2,2016-10-05,2016-12-31,"08/10/2017","N","N","",5901,4,"08/09/2017","F","08/08/2017","","06/02/2017",2016,87
"1172697","225603","SOUTHPOINTE REHAB CENTER","100 AMITY STREET","FALL RIVER","MA","02721","BRISTOL",152,6080,1079,3435,1351,39,4,16,27,858,4,"225603",NA,2,2016-11-21,2016-12-31,"08/10/2017","N","N","",5901,4,"08/10/2017","F","08/08/2017","","06/06/2017",2016,40
"1172698","225690","BAYPOINTE REHAB CENTER","50 CHRISTY PLACE","BROCKTON","MA","02401","PLYMOUTH",169,6760,305,4068,1966,9,13,24,33,312,4,"225690",NA,2,2016-11-21,2016-12-31,"08/10/2017","N","N","",5901,4,"08/10/2017","F","08/09/2017","","06/06/2017",2016,40
